chinese,english
那條 領帶 很 適合 你 的 襯衫,That tie goes well with your shirt
你 穿 那件 白色 的 衣服 很 好看,That white dress looks good on you
那 女人 比 我 老 很多,That woman is much older than I am
那 是 住 在 隔壁 的 男人,That's the man who lives next door
史密斯 夫婦 住 在 我家 附近,The Smiths live in my neighborhood
宝宝 在 摇篮 里 入睡 了,The baby fell asleep in the cradle
這個 小 嬰兒 正在 玩 一些 玩具,The baby is playing with some toys
這顆 氣球 被 樹絆 住 了,The balloon was caught in the tree
那輛 在 樹下 的 自行 車是 我 的,The bicycle under the tree is mine
這塊 木板 大約 兩 公尺 長,The board is about two meters long
这 男孩 的 口袋 里 有 个 苹果,The boy has an apple in his pocket
男孩 們 的 腳踏車 在 車庫裡,The boys' bicycle is in the garage
這台 相機 至少 要花費 500 美元,The camera will cost at least $500
仪式 以 他 的 讲话 开始,The ceremony began with his speech
夜幕降临 时 孩子 们 回家 了,The children returned home at dusk
那个 钟 每天 都 快 了 五分钟,The clock gains five minutes a day
钻石 被 镶 在 一个 金戒指 上,The diamond was set in a gold ring
狗 對 著 這個 陌生 男子 咆哮,The dog growled at the strange man
這個門 在 九點鐘 的 時候 是 鎖著 的,The door is locked at nine o'clock
敌人 对 我们 发起 了 攻击,The enemy launched an attack on us
這批 貨物 是 由 船 隻 運送 的,The goods were transported by ship
這個 男人 被 警察 拘留 了,The man was held in police custody
這藥 對 我 沒 有 任何 好處,The medicine didn't do me any good
這座 山有 一個 美麗 的 外形,The mountain has a beautiful shape
這位 老人 收容 了 這個 孩子,The old man gave the child shelter
這個 袋子 裡的 柳橙 都爛 了,The oranges in this bag are rotten
上個 星期 這架 飛機 墜毀 了,The plane crash was only last week
警察 正在 检查 他们 的 包,The police are checking their bags
這個 價格 不 包含 這個 箱子,The price does not include the box
這個 計劃 徹底 的 失敗 了,The project was a complete failure
暴風雨 發展 成 了 一個 颱 風,The storm developed into a typhoon
街道 上 擠 滿 了 人,The street was crowded with people
在 冬天 太阳 下山 比 往常 更 早,The sun sets earlier in the winter
电话 是 由 贝尔 发明 的,The telephone was invented by Bell
火車 今天 晚 了 十分 鐘,The train is 10 minutes late today
这 两个 男人 是 生意 上 的 合作伙伴,The two men were business partners
兩個 年 輕 的 女孩 高興地 微笑 了,The two young girls smiled happily
他們 的 小 嬰孩 已 經會 走路 了,Their baby is able to walk already
這 附近 有 一個 軍事 基地,There is a military base near here
这个 房间 里 有 个 电视机,There is a television in this room
你 有 一個 緊急 的 訊息,There is an urgent message for you
他 的 家 不幸 有人 身亡,There's been a death in his family
你 無法 為 湯姆 做 甚麼,There's nothing you can do for Tom
我 的 房間裡 只有 一个 窗戶,There's only one window in my room
這些 問題 太 容易 回答 了,These questions are easy to answer
他們 都 在 尋找 這個 走失 的 孩子,They all looked for the lost child
他們 相信 死 後 的 生命,They believe in a life after death
他们 是从 法国 南部 来 的,They come from the south of France
他們 說 法語 說 得 不太好,They didn't speak French very well
他們 救 了 這個 落水 的 男孩,They rescued the boy from drowning
他们 说 他 再也不会 回来 了,They say that he will never return
他們 全都 叫 到 沙啞 了,They were all hoarse from shouting
他們將 於 下個 星期 的 今天 抵達,They will arrive a week from today
这个 炸弹 可以 炸死 很多 人,This bomb can kill a lot of people
這張 書桌 是 專門 為 兒童 設計 的,This desk is designed for children
這件 衣服 花 了 我 40000 日元,This dress cost me over 40000 yen
這 朵花 很 美 不是 嗎,This flower is beautiful isn't it
这 是 份 好 报纸 不是 吗,This is a good newspaper isn't it
这 是 篇 信息量 很大 的 文章,This is a very informative article
這是 鎮上 最 便宜 的 商店,This is the cheapest store in town
这 是 他 出生 的 城市,This is the town where he was born
这里 是 湖 最深 的 地方,This lake is deepest at this point
這 牛奶 放到 明天 會壞 的,This milk won't keep till tomorrow
在 这条 河里 游泳 很 危险,This river is dangerous to swim in
在 這條 河裡 游泳 很 危險,This river is dangerous to swim in
這 首歌曲 在 日本 很受 歡迎,This song is very popular in Japan
這張 桌子 太 佔 空間 了,This table takes up too much space
虽然 他 很 有钱 但 他 不 幸福,Though he is rich he is not happy
人 皆 有 錯 唯聖者 能 恕,To err is human to forgive divine
今天 是 今年 最熱 的 一天,Today is the hottest day this year
東京 是 日本 最大 的 城市,Tokyo is the largest city in Japan
湯姆 和 瑪麗 都 知道 你 是 誰,Tom and Mary both know who you are
汤姆 和玛丽 两个 人 都 会 说 法语,Tom and Mary can both speak French
湯姆 和 瑪麗 等 煩 了,Tom and Mary were tired of waiting
汤姆 从 派对 上 醉醺醺 地 回家 了,Tom came home drunk from the party
汤姆 在 2 ： 30 之后 才能 回家,Tom can't go home until after 2:30
湯姆 不能 決定 從 哪裡 開始,Tom couldn't decide where to begin
湯姆 不想 住 在 波士 頓,Tom doesn't want to live in Boston
汤姆 刚 改建 了 他 的 厨房,Tom has just remodeled his kitchen
汤姆 从小 就 认识 玛丽 了,Tom has known Mary since childhood
汤姆 多年 没有 和玛丽 说话 了,Tom hasn't talked to Mary in years
Tom 離婚 了 他 有 個 女兒,Tom is divorced and has a daughter
湯姆 在 這以 東三哩 的 地方 住,Tom lives three miles east of here
汤姆 失去 了 平衡 摔 落下来,Tom lost his balance and fell down
湯姆 在 考試 中犯 了 一些 錯誤,Tom made some mistakes on the test
汤姆 可能 错过 了 最后 一班 列车,Tom might've missed the last train
汤姆 说 他 从来 没 去过 波士顿,Tom said he'd never been to Boston
湯姆 說 他 會 讓 瑪麗去 做,Tom said he'll ask Mary to do that
汤姆 说 他 需要 更 多 钱,Tom said that he needed more money
汤姆 说 他 不 知道 要 做 什么,Tom says he didn't know what to do
汤姆 说 他 希望 玛丽 能 做到,Tom says he hopes Mary can do that
汤姆 每周 两次 教 我 法语,Tom teaches me French twice a week
湯姆 認為 他 跟 我 有關 係,Tom thinks that he's related to me
湯姆告 訴瑪麗 她 不能 做 那件事,Tom told Mary she couldn't do that
汤姆 告诉 我 他 丢 了 课本,Tom told me he'd lost his textbook
汤姆 告诉 我 他 很 乐意 帮助,Tom told me that he'd love to help
汤姆 从 玛丽 那里 拿走 了 锤子,Tom took the hammer away from Mary
湯姆 打開 了車 的 霧 燈,Tom turned on the car's fog lights
Tom 要 我 離 他 遠 一點,Tom wants me to stay away from him
湯姆 的 葬 禮訂 在 這週末,Tom's funeral will be this weekend
汤姆 我 想要 你 来 操作 这 一个,Tom I want you to handle this one
當你到 達 的 時候 他 還在 這裡 嗎,Was he still here when you arrived
我們 要 去 市中心 吃 比薩,We are going downtown to eat pizza
我们 毫不费力 地想 出 了 密码,We easily figured out the password
我们 选 她 为 我们 队 的 队长,We elected her captain of our team
我們 在 野餐 玩得 很 開心,We enjoyed ourselves at the picnic
我們 今天 早上 有 歷史 小考,We had a history quiz this morning
我们 恰巧 上 了 同 一辆 公交车,We happened to get on the same bus
我們 的 辦 公室 之間 有 扇門,We have a door between our offices
我們 一週 有 四堂 法語 課,We have four French classes a week
我们 要 继续 我们 的 工作,We have to continue to do our jobs
我们 要 明白 汤姆 想要 什么,We have to find out what Tom wants
我们 向 山间 小屋 走 去,We headed for the mountain cottage
我們 知道 昰 你 殺 了 湯姆,We know it was you that killed Tom
我們 常常 在 放學 後 下棋,We often played chess after school
我們 看到 了 孩子 們 進入 這個 房間,We saw the children enter the room
我們 聽 到 這個 消息 很 驚訝,We were surprised to hear the news
我们 要 在 海边 在 烧烤 架上 烤肉,We'll have a barbecue at the beach
我們 受夠 了 你 的 抱怨,We're fed up with your complaining
下个月 我们 会 有 辆 新车,We're getting a new car next month
我們 將要 去 爬 那座 山,We're going to climb that mountain
我們 下個 星期六 將舉行 派 對,We're having a party next Saturday
你 在 波士顿 待 了 很 久 吗,Were you in Boston for a long time
NTT 這個 縮 寫 是 什麼 意思,What do the initials NTT stand for
你 覺得 Tom 的 廚藝 如何,What do you think of Tom's cooking
你 這個 星期 一直 在 做 什麼,What have you been doing this week
你 新書 的 書名 是 什麼,What is the title of your new book
在 美國 的 人 說 什麼 語言,What language is spoken in America
我们 只 需要 再 多一点 时间,What we need is a little more time
如果 我 那么 做 你 会 怎么 想,What would you think if I did that
你 说 的 关于 汤姆 的话 不是 真的,What you said about Tom isn't true
你 能记 起来 的 最后 一件 事是 什么,What's the last thing you remember
你 最 喜歡 的 比薩類 型 是 甚麼,What's your favorite type of pizza
當我 回家 的 時候 湯姆 正在 讀書,When I came home Tom was studying
我 回到 家 的 时候 感觉 非常 饿,When I got home I was very hungry
你 在 澳洲 的 哪裡長 大,Where in Australia did you grow up
到 市區 的 公車 站牌 在 哪裡,Where is the bus stop for downtown
最近 的 電話 亭 在 哪裡,Where is the nearest telephone box
當我讀 書 的 時候 我 睡 著 了,While I was reading I fell asleep
誰 負責 今天 的 派 對,Who was in charge of today's party
为什么 你 要 烧 这些 图片 呢,Why are you burning these pictures
今天 早上 你 為 什麼 來 這裡,Why did you come here this morning
为什么 你 不来 跟 我 跳舞,Why don't you come dancing with me
你 要 再 來 一塊 餡餅 嗎,Will you have another slice of pie
冬天 結束 了 春天 已經來 了,Winter is over and spring has come
女人 往往 比 男人 活得 更長,Women tend to live longer than men
请问 您 要 多来 点儿 沙拉 吗,Would you like a little more salad
你 介意 把 你 的 車借給 我 嗎,Would you mind lending me your car
你 介意 把 你 的 筆借給 我 嗎,Would you mind lending me your pen
你 介意 借 我 你 的 筆嗎,Would you mind lending me your pen
請 你 把 鹽 遞給 我 好 嗎,Would you pass me the salt please
請 你 等 一下 好 嗎,Would you please wait for a minute
在 你 忘記 之前 把 它 寫 下來,Write it down before you forget it
昨天 我 在 街上 遇見 了 瑪麗,Yesterday I met Mary on the street
你 和 我 有 一些 共同点,You and I have something in common
你 對 批評 太 敏感 了,You are too sensitive to criticism
你 可以 把 這個 保留 給 自己,You can keep this one for yourself
你 可以 選擇 任何 你 喜歡 的 書,You can pick out any book you like
你 可以 隨時 使用 這台 電腦,You can use this computer any time
您 不能 使用 這台 洗衣 機,You can't use this washing machine
你 不能 用 這 臺 洗衣 機,You can't use this washing machine
你 自己 选择 了 这份 工作 是 吗,You chose this job yourself right
你 午饭 吃 的 不 多 不是 吗,You didn't eat much lunch did you
你 没 必要 马上 去 做,You don't have to do it right away
你 不 需要 提高 你 的 音量,You don't have to raise your voice
你 没 必要 马上 去 做,You don't need to do it right away
你 的 球拍 跟 我 的 一樣,You have the same racket as I have
你 该 考虑 他 的 年纪,You must take his age into account
你 不該 那樣 跟 湯姆 講話,You shouldn't talk to Tom that way
你 最好 等 下 一班 公車,You'd better wait for the next bus
你 的 租金 遲交 了 一個 月,You're a month behind in your rent
你 现在 不 应该 在 这里,You're not supposed to be here now
你 是 我 唯一 可以 信任 的 人,You're the only person I can trust
你 的 袜子 上 有 个 大洞,You've got a big hole in your sock
你 的 父母 沒來 是 嗎,Your parents didn't come did they
人們 修 了 一座 橋過 河,A bridge was built across the river
一个 有名 的 建筑师 造 了 这个 房子,A famous architect built this house
一个 有名 的 建筑师 造 了 这栋 房子,A famous architect built this house
我 有 一位 朋友 在 國外 留學,A friend of mine is studying abroad
晚飯 後 她 清理 了 桌子,After supper she cleared the table
亞歷 山大 大帝 死 在 巴比 倫,Alexander the Great died in Babylon
你 在 讀 有趣 的 的 書 嗎,Are you reading an interesting book
你 在 说 我 有 生命危险 吗,Are you saying my life is in danger
我们 终于 达到 了 我们 的 目标,At last we reached our destination
至少 告诉 我们 你 要 去 哪里,At least tell me where you're going
CD 已经 取代 了 胶木 唱片,CDs have taken the place of records
我 可以 借 一会 你 的 书 吗,Can I borrow your book for a minute
你 可以 想象 在 月球 上 行走 吗,Can you imagine walking on the moon
你 明天 早上 七點 可不可以 叫 我 起床,Can you wake me up at 7:00 tomorrow
請 你 把 胡椒 遞給 我 好 嗎,Could you please pass me the pepper
能 把 胡椒 遞給 我 嗎,Could you please pass me the pepper
你 會 說 簡單 的 英語 嗎,Could you say that in plain English
牛 在 牧地 上 吃 草,Cows are eating grass in the meadow
你 沒 聽 到 她 說 法語 嗎,Didn't you hear her speaking French
你 知道 怎么 驾驶 这 玩意儿 吗,Do you know how to drive this thing
你 知道 悲伤 的 滋味 么,Do you know what sadness feels like
你 真的 觉得 我长 得 像 汤姆 吗,Do you really think I look like Tom
你 認為 湯姆 退休 了 嗎,Do you think Tom is already retired
你 認為 湯姆 退休 了 嗎,Do you think Tom is retired already
别问 问题 跟着 我 就 行,Don't ask questions Just follow me
不要 对 批评 太 敏感 了,Don't be too sensitive to criticism
我 学习 的 时候 不要 打扰 我,Don't disturb me while I'm studying
当 我 学习 的 时候 不要 打扰 我,Don't disturb me while I'm studying
别 让 孩子 们 在 马路 中间 嬉戏,Don't let children play in the road
不要 让 这些 信息 泄露 出去,Don't let this information leak out
不要 把馬車 放在 馬 的 前面,Don't put the cart before the horse
吃 鱼 有益于 你 的 健康,Eating fish is good for your health
英語 是 一種 難學 的 語言,English is a hard language to learn
英語 是 一種 溝通 的 手段,English is a means of communication
英語 在 大部份 的 國家 被 教授,English is taught in most countries
鎮上 的 每個 人 都 知道 它,Everyone in the town knows about it
每个 人 都 想分 一点 蛋糕,Everyone wanted a piece of the cake
對 不起 但 圖書館 在 哪裡,Excuse me but where is the library
请问 下 这件 毛衣 要 多少 钱,Excuse me how much is this sweater
新鲜 的 水果 对 你 的 健康 有益,Fresh fruit is good for your health
上樓 把 我 的 旅行箱 拿下 來,Go upstairs and bring down my trunk
格雷厄姆 格林 是 我 最 喜歡 的 作家,Graham Greene is my favorite author
奶奶 送 了 我們 一箱 蘋果,Grandmother sent us a box of apples
你 已经 买 了 票 吗,Have you already bought the tickets
你 听说 过 这样 的 事 吗,Have you ever heard of such a thing
你 看过 这么 好看 的 电影 吗,Have you ever seen such a nice film
十岁时 他 就 成 了 孤儿,He became an orphan when he was ten
他 从 窗帘 后 出来 了,He came out from behind the curtain
他 用 一块 木头 刻 出 一尊 佛像,He carved a Buddha statue from wood
他 没有 工作 他 退休 了,He doesn't have a job He's retired
他 能 赚 多少 就 赚 多少,He earned as much money as possible
他 给 了 我 一个 很棒 的 圣诞礼物,He gave me a nice Christmas present
他 有 个 住 在 东京 的 兄弟,He has a brother who lives in Tokyo
他 已 經去 義 大利 學習 音樂 了,He has gone to Italy to study music
他 對 自己 沒有 多少 信心,He has little confidence in himself
他 是 這 棒球 俱樂部 的 成員,He is a member of the baseball club
他 住 得 离 老家 很 远,He lives far away from his hometown
他 看 向 四周 但 沒 看到 任何人,He looked around but he saw no one
他 與 她 在 美國成 為 朋友,He made friends with her in America
他 好好 地 利用 了 這個 機會,He made good use of the opportunity
他 為 遲到 找 了 很多 的 藉口,He made many excuses for being late
他 盡力 地 利用 了 這個 機會,He made the most of his opportunity
他 說 很 可能 會 下雨,He said that it would probably rain
他 說 ： 我想 成為 科學家,He said I want to be a scientist
他花 了 一上午 的 時間 看書,He spent the morning reading a book
他 整個 上午 都 在 看書,He spent the morning reading a book
他 因酒 後 駕駛 而 被捕,He was arrested for drunken driving
他 代替 他 的 父親 去,He went there instead of his father
她 的 观点 没有 基于 事实,Her argument was not based on facts
這裡 有個 裝滿 蔬菜 的 籃子,Here is a basket full of vegetables
炎熱潮 濕 的 天氣 使 我們 變得 懶散,Hot and humid weather makes us lazy
你 是 怎样 庆祝 生日 的,How did you celebrate your birthday
你 是 怎麼 知道 那 是 湯姆 的,How do you know that belongs to Tom
你们 两个 在 一起 多久 了,How long have you two been together
快 一点 你 就 能 赶上 火车 了,Hurry and you will catch the train
我 总是 在 上学 前先 吃饭,I always eat before going to school
我 對 日本 歷史 有 興趣,I am interested in Japanese history
我 請 了 二十位 朋友 參加 派 對,I asked twenty friends to the party
今天 早上 我 吃 了 面包 夹 黄油,I ate bread and butter this morning
我 今天 早上 跟 Tom 借手機,I borrowed Tom's phone this morning
沒有 了 我 的 眼鏡 我 幾乎 看不到,I can hardly see without my glasses
我 既 不能 确认 也 不能 否定,I can neither confirm nor deny that
我能 了解 她 在 說 什麼,I can understand what she is saying
在 某種 程度 上 我 能 了解 你,I can understand you to some extent
我 不 記得 哪個 是 我 的 球拍,I can't remember which is my racket
我 不能 再 忍受 那 噪音 了,I can't stand that noise any longer
我無法 再 忍受 這個 噪音 了,I can't stand this noise any longer
我 抓 到 了 這個 男人 正在 偷錢,I caught the man stealing the money
我 整夜 都 能 听到 狗叫,I could hear dogs barking all night
我 想不到 要 說 什麼 話,I couldn't think of anything to say
我 每次 看 这部 电影 都 会 哭,I cry every time I watch this movie
我 今天 没有 时间 去 那里 了,I don't have time to go there today
这 五个 女人 我 一个 都 不 认识,I don't know any of the five ladies
我 不 知道 如何 對待 孩子,I don't know how to handle children
我 不 知道 他 今晚 會不會 來,I don't know if he can come tonight
我 不 知道 什么 时候 要 在 那里,I don't know when I should be there
我 不 喜歡 在 清晨 開 的 會議,I don't like early morning meetings
我 不 記得 寄過 信 了,I don't remember mailing the letter
我们 之前 没有 见 过 吧,I don't think we've been introduced
我 不想 再 聽 到 這事,I don't want to hear about it again
我 感觉 大家 都 在 关注 我,I feel like everybody's watching me
我 偶然 发现 了 那家 餐馆,I found that restaurant by accident
我 猜想 他們 會 同意 我們 的,I gather that they'll agree with us
我 與 我 的 弟弟 相處 融洽,I get along with my younger brother
我 每天 做 兩個 小時 的 練習,I get two hour's exercise every day
我 每天 做 兩個 小時 的 運動,I get two hour's exercise every day
我 在 法國 認識 了 她,I got acquainted with her in France
我 在 法國 認識 了 他,I got acquainted with him in France
我 今天 早上 六點 半 起床,I got up at six-thirty this morning
我 毫不 费劲 就 找到 他 的 公司,I had no trouble finding his office
我 在 日本 已經 兩個 月 了,I have been in Japan for two months
这个 犯罪 和 我 一点 关系 都 没有,I have nothing to do with the crime
我 有 跟 你 同樣 的 麻煩,I have the same trouble as you have
我 聽 到 孩子 們 開心 的 聲音,I heard the children's happy voices
我刚 把 你家 的 卫生 做 完,I just finished cleaning your place
我 知道 你 比 我 有 錢,I know that you're richer than I am
我 喜欢 和 父亲 一起 去 钓鱼,I like to go fishing with my father
我 在 超級 市場裡 找 他,I looked for him in the supermarket
我 努力 的 改善 我 的 成績,I made efforts to improve my grades
我 設法 讓 他 明白 了,I managed to make him understand it
我 週日 在 公園裡 打 網球,I play tennis in the park on Sunday
那本書 我 從頭 到 尾 看 完 了,I read the book from cover to cover
我 真 喜歡 你給 我 的 禮物,I really liked the gift you gave me
我 拒绝 被 像 一个 孩子 般 对待,I refuse to be treated like a child
我 看见 一个 老太太 穿过 了 马路,I saw an old woman cross the street
我 上 週日花 時間 看 了 一本 小說,I spent last Sunday reading a novel
我 怀疑 汤姆 也 感到 兴趣,I suspected that Tom was interested
我 認為 我 找到 了 更好 的,I think I've found something better
我 以为 汤姆 会 喜欢 这个 聚会,I thought Tom would enjoy the party
我 以为 你 想见 我 呢,I thought that you wanted to see me
我 想 让 这次 变得 不 一样,I want it to be different this time
我 对 以后 做 什么 很 迷茫,I was puzzled about what to do next
我 对 他 的 坚持 感到 很 惊讶,I was surprised by his perseverance
當他 進來 的 時候   我 正在 寫信,I was writing a letter when he came
上个月 我 参加 了 三场 葬礼,I went to three funerals last month
我永遠 不會 逼 你 跟 他 結婚,I will never force you to marry him
我 希望 住 在 你家 附近,I wish I could live near your house
除了 星期天 我 每 一天 都 工作,I work every day except for Sundays
我 除了 星期天 外 每天 都 上班,I work every day except for Sundays
我 想 请 你 参加 派对,I'd like to invite you to the party
我 想 讓 你 下周 回來,I'd like you to come back next week
我 下周 会 详细 说明 的,I'll explain it in detail next week
我 的 白 髮 越來 越 多,I'm getting more and more gray hair
我 不是 要求 你 我 是 恳请 你,I'm not asking you I'm begging you
我 不會 對 你 做 任何 事,I'm not going to do anything to you
我 适应 新 环境 很 慢,I'm slow to adapt to new situations
我 很 遺憾 你 要 離開 這裡,I'm sorry that you are leaving here
抱歉 你 能 再说 一遍 吗,I'm sorry could you say that again
我 确定 你 不久 就 回来,I'm sure you'll be back before long
我 尽量 留着 胃 吃 甜点,I'm trying to save room for dessert
我 在 這裡 很長 時間 了,I've been here for a very long time
我 必须 靠 自己 做 所有 事,I've had to do everything by myself
我 没 去过 我 叔叔 的 房子,I've never been to my uncle's house
我 答应 汤姆 我会 去 那里,I've promised Tom that I'd be there
如果 我 很 健康 我會 很快 樂,If I were healthy I would be happy
如果 湯姆 不 投降 就 開槍,If Tom doesn't surrender shoot him
如果 汤姆 真的 活着 他 在 哪里,If Tom is really alive where is he
如果 你 会 唱歌 就 好 了,If you can sing that's good enough
在 瑞士 春天 在 五月 来临,In Switzerland spring comes in May
我 每天 早上 在 公園 寫作,In the morning I write in the park
你 真的 要试 着 那样 做 吗,Is it true you're trying to do that
这 是 你 找 的 钥匙 吗,Is this the key you are looking for
你 有 必要 到 那里 去,It is necessary for you to go there
為濺 出 的 牛奶 哭 也 沒用,It is no use crying over spilt milk
如果 你 唱歌 的 話 一定 很棒,It would be great if you could sing
用 手指 点 别人 不 礼貌,It's bad manners to point at people
試圖 勸 她 是 沒 有用 的,It's no good trying to persuade her
这 不是 我 所 擅长 的 事,It's not something I'm very good at
有時 可以 放 輕 鬆 一下,It's okay to take it easy sometimes
你 不能 來 真是太 糟糕 了,It's too bad that you couldn't come
日本 是 一個 非常 嘈雜 的 國家,Japan is an extremely noisy country
卡拉 OK 對 減輕 壓力 有益,Karaoke is good for reducing stress
你 有钱 的话 借 我 一些,Lend me some money if you have any
請給 我 看 一下 你 的 筆記本 電腦,Let me have a look at your notebook
让 我们 和 他们 讨论 这个 问题 吧,Let's discuss the problem with them
咱在 汤姆 回来 之前 开溜 吧,Let's skip out before Tom gets back
看来 今天 会 是 漫长 的 一天 啊,Looks like today will be a long day
玛丽 更想 把 头发 染成 金色,Mary prefers to dye her hair blonde
瑪麗 說 她 會 做 她 的 功課,Mary said she would do her homework
現代船 隻 只 需要 一小 組 的 船員,Modern ships only need a small crew
我 弟弟 去年 死 於 癌症,My brother died of cancer last year
我 的 兄弟 住 在 一個 小村 莊裡,My brother lives in a small village
我 爸爸 既 不 喝酒 也 不 抽烟,My father neither drinks nor smokes
我 的 收入 減少 了 百分之十,My income has decreased ten percent
我 的 計劃 一個 接一個 的 失敗 了,My plans failed one after the other
那 声音 搅 了 我 的 美梦,My sleep was disturbed by the sound
我 叔叔 讓 我 擔任 翻譯,My uncle had me act as a translator
名古屋 在 東京 和 大阪 之間,Nagoya lies between Tokyo and Osaka
下次 该轮 到 我 开车 了,Next time it'll be my turn to drive
耐心 对 一个 教师 来说 是 必需 的,Patience is essential for a teacher
將 融化 了 的 奶油 倒入 爆米花 中,Pour melted butter over the popcorn
在 第三季 時銷售 跌 了 下來,Sales fell off in the third quarter
莎士 比亞 是 一位 作家 的 名字,Shakespeare is the name of a writer
她 专注 在 她 的 新 工作 上,She applied her mind to her new job
她 能 和 她 哥哥 游得 一樣 快,She can swim as fast as her brother
她 到 死 都 改不了 那個 習慣,She carried that habit to her grave
她 梦见 她 是 一个 公主,She dreamed that she was a princess
她給 了 我們 一些 有用 的 訊息,She gave us some useful information
她 每 週日 早上 很 晚 起床,She gets up late on Sunday mornings
她 昨晚 做 了 个 美梦,She had a pleasant dream last night
當我到 的 時候 她 已經 走 了,She had already gone when I arrived
她 一年 裡 遇到 了 兩次 事故,She had two accidents within a year
她 有 丈夫 和 兩個 女兒,She has a husband and two daughters
她 幫助 他 平撫 了 他 的 悲傷,She helped him overcome his sadness
她 邀 請 我 和 湯姆去 派 對,She invited Tom and me to the party
她 能 說 流利 的 英語 和 法語,She is fluent in English and French
看到 他 的 帽子 她 笑 了,She laughed at the sight of his hat
她 似乎 比 以往 任何 时候 都 漂亮,She looked more beautiful than ever
她 犯 了 很多 拼寫 錯誤,She made a lot of spelling mistakes
她 犯 了 和 以前 同樣 的 錯誤,She made the same mistake as before
她 在 入口 看到 一個 年 輕 男人,She saw a young man at the entrance
她 现在 应该 已经 到家 了,She should have arrived home by now
她 很 驚訝 他 出現 了,She was surprised that he showed up
她 累 了 但 她 繼續 工作,She was tired but she kept working
她 差不多 和 你 一样 高,She's almost the same height as you
對 不起   那不關 我 的 事,Sorry that was none of my business
對 不起 我們 不 接受 信用卡,Sorry we don't accept credit cards
把 另 一張 郵票 貼 在 信封 上,Stick another stamp on the envelope
告诉 汤姆 我 不 需要 他 的 帮助,Tell Tom that I don't need his help
那 是 我 真的 很 喜歡 的 椅子,That's the chair that I really like
這個 包裹 上 的 地址 是 錯 的,The address on this parcel is wrong
船 被 用 短 繩 繫 著,The boat was tied with a short line
這個 男孩 實際 上 是 要 去 做,The boy actually was going to do it
巴士 不 总是 能 准点 到达,The bus doesn't always come on time
桌上 的 计算器 是 我 的,The calculator on the table is mine
这 孩子 有 水痘 的 症状,The child has a case of chicken pox
孩子 们 被 照顾 得 很 好,The children were well looked after
房子 被 大火 烧成 了 灰烬,The fire reduced the house to ashes
馬 停 了 下來 而且 拒絕 移動,The horse stopped and wouldn't move
他 去世 的 消息 傳遍 各地,The news of his death spread around
警察 會 把 你 關在 牢裡,The police will put you behind bars
警察 抓住 了 那个 男孩 的 手臂,The policeman grabbed the boy's arm
老師 要 我們 重 複 這個 字,The teacher made us repeat the word
這座 火山 又 開始 活動 了,The volcano has become active again
墙 被 常青藤 覆盖 了 一部分,The wall is partly covered with ivy
X光 片 显示 两根 手指 断 了,The x-ray showed two broken fingers
他们 的 计划 对 我 来说 很 有意思,Their plan sounds interesting to me
这个 森林 里 有 很多 小鸟,There are many birds in this forest
在 火车 的 间隔 中有 漫长 的 等待,There is a long wait between trains
去年 冬天 下 了 好多 雪,There was a lot of snow last winter
我 有 东西 想 给 你 看看,There's something I want you to see
他们 谈 计划 谈 了 几个 小时,They talked over the plan for hours
他们 一起 为 这个 项目 工作 过,They worked jointly on this project
這座橋 是 在 兩 年前 建造 的,This bridge was built two years ago
這 可能 不是 一顆 真的 鑽石,This might not be a genuine diamond
這支 鉛筆 比 那 隻 好,This pencil is better than that one
老实 说 我 不 喜欢 他,To tell the truth I don't like him
湯姆 把 繩子加 在 了 這個 風箏 上,Tom attached the string to the kite
汤姆 明天 会 给 你 一个 答案,Tom can give you an answer tomorrow
湯姆 幾乎 每個 週末 都 回家,Tom comes home almost every weekend
汤姆 不 知道 为什么 玛丽 缺席,Tom doesn't know why Mary is absent
汤姆 在 学校 里 不 专心,Tom doesn't pay attention in school
汤姆 给 了 我们 可以 谈论 的 东西,Tom gave us something to talk about
汤姆 说话 的 法国 腔 很重,Tom has a very strong French accent
汤姆 对 我 一直 很 好,Tom has always been very nice to me
汤姆 会 和玛丽 说 他 很 忙,Tom is going to tell Mary he's busy
汤姆 在 医院 的 等候 室,Tom is in the hospital waiting room
汤姆 对 玛丽 一点 也 不感兴趣,Tom isn't interested in Mary at all
汤姆 知道 玛丽 不会 让 他 失望,Tom knew Mary wouldn't let him down
汤姆 知道 玛丽 的 很多 事,Tom knows a lot of stuff about Mary
湯姆靜靜 地關 上 了 臥室 的門,Tom quietly closed the bedroom door
湯姆意識 到 他 丢 了 錢 包,Tom realized he had lost his wallet
汤姆 说 他 乐意 做 这事,Tom said he'd be willing to do this
湯姆 說 他 很 高興 他 能 做,Tom said he's glad he could do that
汤姆 告诉 我 他 讨厌 圣诞节,Tom told me that he hated Christmas
湯姆 告訴 我 他 正在 回來,Tom told me that he was coming back
汤姆 告诉 我 他 会 马上 回来,Tom told me that he'd be right back
湯姆 像是 我們 家庭 的 一員,Tom was like a member of our family
湯姆 從 來 不 擅長 游泳,Tom was never very good at swimming
湯姆 不太會 再 去 做 那事 了,Tom will likely never do that again
湯姆不會 讓 我 再 買 甚麼 東西 了,Tom won't let me buy any more stuff
汤姆 三年 前 创作 了 那首歌,Tom wrote that song three years ago
汤姆 的 法语 已经 很 好 了,Tom's French is already rather good
Tom 的 眼睛 被 荧幕 吸引住 了,Tom's eyes were glued to the screen
